S No,Vendor,Changes Requested By,Changes Requested,Completed
1,Top-Notch,Elina,"TOP NOTCH 
Order value &lt; $500 Customer order In-house MOV not met
IF CUSTOMER ORDER IS LESS THAN 500 IT WILL NOT BE PROCESSED AS A DROPSHIP SO IT WILL ALREADY BE PROCESSED AS COMING IN HOUSE 
SO NO REASON TO PUT UNNECESSARY INFORMATION TO CONFUSE PEOPLE  
Marketplace order
(Amazon/ Walmart/
eBay/ Wayfair)

Any item Do NOT dropship Always in-house
WE CAN DROPSHIP MARKETPLACE THIS INFORMATION IS INCORRECT 
THERE IS NO ISSUE WITH DROPSHIPPING MARKETPLACE FROM TOPNOTCH ",Pending
2,IML Security Supply,Elina,"All good 
except not clear on what how are we ordering in house ",Pending
3,Structure Glass,Elina,"No Limitations on Oversized Items - Vendor allows ordering long items without
restriction, such as 240 Inches & 144 Inches; and other oversized profiles.
this is ONLY For ordering IN House does not apply to dropship 
Customer is closer to DK than the vendor.
Vendor is located in Miami so no customer is closer to vendor unless they are in Miami 
We Order everything in house there is no reason to dropship unless its a NEXT DAY order 
everything else we order in house and if there is Next Day or Second Day order wecan order in house and send our driver to pick up 
Structure Glass needs to be completely rewritten 
We need to discuss this 
Most of the logic is incorrect for it ",Pending
4,Lavi Industries,Elina,"Lavi pricing changes frequently.
It does not change frequently 
We have different price set for coming in house and for dropship 
our backoffice shows coming in house pricing 
Vendor address Step 1 — Check freight rates from vendor location:
27810 Avenue Hopkins, Valencia, CA, 91355
IS incorrect, they are moving to TX in January 
Nothing mentions about ordering in house 
when do we order in House? how to submit or revise in house orders 
",Pending
5,Cal-Royal ,Elina,"for Cal-Royal 
No Minimum Order Value for In-House orders. Dropship may be attempted for order
value above $100. thats is incorrect ORDERS UNDER $ 50.00 have service charge 
you can not submit orders on line if order is less than $100.00
everything else is good ",Pending
7,MSC Direct,Elina,"FOR MSC 
Customization ? Vendor Quote + Signed Customer Quote Required. We do not need signed quote from customer, most items are regular items they are not special order for a signed quote from customer Just because we need a quote does not mean customer need to sign one, only if it is a special/modified item or item of a large qty or value 
Stock quantity (strict rule: NEVER exceed) yes we can exceed qty if we are ordering more, they do put items on the backorder 
we do not exceed qty when it states that the price is only for available stock, if its a regular item we can order more they will put items on backorder 
Add items to cart (even if out of stock — backorders allowed)  you contradict yourself from the above statement that never exceed quantity ",Pending
8,D&D Technologies,Elina,"Dropship – Standard Ground 
we try NOT to dropship regular orders due to most items have case min for better pricing 
So if order is not expedited we order in house ",Pending
9,Aria Vetri,Elina,"Aria Verti 
the whole document is INCORRECT 
Please discuss this Vendor with processing team and rewrite completely ",Pending
12,Jeske ,Elina,"Jeske 
Oversized / Freight items: Dropship allowed at $1,500+ 
thats incorrect 
we should dropship any oversize items upto 95"" so we do not hold up the coming in house order 
if we dropship items that holds up the coming in house order that we can submit coming in house with only $350.00 and not wait until it reaves $1500
the exception is only when ther eis a min order qty and customer ordered less than we have to order in house 
The shipping will be displayed at the end and we can make a decision if the item should be dropshipped ",Pending
13,Imperial Dade ,Elina,"Imperial Dade 
Everything is incorrect 
Please contact me for correct information. 
",Pending
16,Hardware Resources,Elina,"Hardware Resources
? Hardware Resources vendor orders are processed only by email using Backoffice (BO).
Incorrect information 
In house orders are done on the website  
MANY POINTS are incorrect 
determining how and when to dropship is incorrect 
Need to discuss this vendor ",Pending
22,Emery Jensen,Elina,"Emery 
it says that dropship is not allowed from Florida warehouse 
YES IT IS ALLOWED 
WE CAN DROPSHIP FROM FLORIDA WAREHOUSE",Pending
23,ERP,Elina,"ERP 
says we can not dropship 
YES WE CAN, there is a dropship fee of $20.00 that includes shipping and handling ",Pending
24,HD Supply,Elina,"HD Supply 
Market place not allowed 
YES its allowed in some instances depending on the item ",Pending
6,National Oak ,Elina,"National Oak 
SUbmission day is NOT only Friday, We can submit Miami any day if the order has reached min for Miami 
Backorders are NOT allowed. Thats not Correct they do have backorders we just created backorder vendor for ourselves but it looks like its not working too good so will discontinue that practice 
Freight items are marked with a large truck icon. There is also a small truck icon, indicting extra shipping even if the warehouse is above min order items with small truck icon do not qualify for free shipping from other warehouses, if item is not available in Miami then item should be dropshipped if customer paid enough shipping 
If warehouse total less than $375 see if any items can be moved from Miami or other warehouses to the warehouse to help reach $375.00 (try to combine warehouses to help eliminate many warehouses and reach free shipping )
THERE IS NO INSTRUCTION ON HOW TO DO DROPSHIP ORDERS ",Yes
10,Hager ,Elina,"Hager 
? Dropship NOT Allowed (Ever):
YES they do 
we can dropship from Hager 
No delivery timeline is available until Hager ships or responds. 
not True 
once the order is placed the eta is provided for each item on the order ",Yes
11,Amerock ,Elina,"Amerock 
Dropship orders do not require a minimum, but item price must be above $50
YES THE MINIMUM for any dropship order is $50.00 ",Yes
14,Richelieu ,Elina,"Richelieu 
? Laminate items - we do not sell Laminate items.
those should be removed from our website ",Yes
15,Pool Corp ,Elina,"Pool Corp 
min order is $150.00",Yes
17,US Horizon,Elina,None,Yes
18,Glass Warehouse ,Elina,None,Yes
19,Southern Lock,Elina,None,Yes
20,CRL,Elina,,
21,FHC,Elina,,
